"","x"
"Alca torda",0
"Haliaeetus leucocephalus",0
"Ptychoramphus aleuticus",0
"Gavia immer",0
"Bucephala albeola",0
"Anas americana",0
"Larus philadelphia",18.3
"Melanitta perspicillata",0
"Podiceps auritus",0
"Larus atricilla",100
"Uria aalge",0
"Larus argentatus",100
"Charadrius vociferus",0
"Puffinus gravis",0
"Phalacrocorax auritus",49.5
"Larus californicus",0
"Gavia stellata",0
"Larus marinus",0
"Phalacrocorax urile",0
"Phalaropus fulicarius",0
"Morus bassanus",100
"Bucephala clangula",0
"Melanitta fusca",0
"Cepphus columba",0
"Larus glaucescens",0
"Cepphus grylle",0
"Brachyramphus marmoratus",0
"Calidris alpina",0
"Aechmophorus occidentalis",0
"Larus occidentalis",0
"Puffinus griseus",0
"Larus canus",0
"Mergus merganser",0
"Fulmarus glacialis",0
"Sterna forsteri",0
"Podiceps grisegena",0
"Oceanites oceanicus",100
"Ardea herodias",0
"Oceanodroma furcata",0
"Mergus serrator",0
"Sterna paradisaea",0
"Pterodroma hasitata",0
"Calonectris diomedea",91.4
"Rissa tridactyla",0
"Fratercula arctica",0
"Fratercula cirrhata",0
"Branta bernicla",0
"Puffinus lherminieri",100
"Sula leucogaster",36.8
"Sterna hirundo",73
"Phalacrocorax penicillatus",0
"Oceanodroma leucorhoa",50.8
"Phalaropus lobatus",0
"Cerorhinca monocerata",0
"Uria lomvia",0
"Arenaria interpres",0
"Aythya valisineria",0
"Oxyura jamaicensis",0
"Anas acuta",0
"Phalacrocorax pelagicus",0
"Hydroprogne caspia",74
"Gavia pacifica",0
"Phoebastria nigripes",0
"Bucephala islandica",0
"Oceanodroma castro",100
"Larus heermanni",0
"Melanitta nigra",0
"Larus fuscus",0
"Alle alle",0
"Stercorarius parasiticus",85.3
"Branta canadensis",0
"Sterna maxima",99.8
"Puffinus creatopus",0
"Pelecanus occidentalis",98.8
"Anser caerulescens",0
"Stercorarius pomarinus",100
"Anas strepera",0
"Anas crecca",0
"Haematopus bachmani",0
"Xema sabini",0
"Melanitta americana",0
"Onychoprion fuscatus",100
"Pterodroma arminjoniana",0
"Sterna sandvicensis",100
"Larus delawarensis",97.9
"Clangula hyemalis",0
"Oceanodroma melania",0
"Cygnus columbianus",0
"Egretta thula",21.2
"Aythya marila",0
"Oceanodroma homochroa",0
"Phalaropus tricolor",0
"Anous stolidus",67.1
"Puffinus puffinus",0
"Phalacrocorax brasilianus",0
"Oceanodroma tethys",0
"Calidris himantopus",0
"Arenaria melanocephala",0
"Puffinus opisthomelas",0
"Chlidonias niger",100
"Sterna dougallii",0
"Anas platyrhynchos",0
"Phoebastria immutabilis",0
"Limnodromus griseus",0
"Synthliboramphus antiquus",0
"Pelagodroma marina",0
"Stercorarius longicaudus",21.1
"Puffinus bulleri",0
"Puffinus pacificus",0
"Calidris pusilla",0
"Sternula albifrons",0
"Onychoprion anaethetus",100
"Sternula antillarum",80.4
"Anas rubripes",0
"Somateria mollissima",0
"Pterodroma cookii",0
"Stercorarius maccormicki",0
"Sula dactylatra",96.5
"Pluvialis squatarola",0
"Phaethon aethereus",0
"Stercorarius skua",0
"Phalacrocorax carbo",0
"Larus glaucoides",0
"Fregata magnificens",57.3
"Fratercula corniculata",0
"Phaethon lepturus",19
"Limosa fedoa",0
"Aythya americana",0
"Cygnus buccinator",0
"Sterna repressa",45.9
"Anas discors",0
"Tringa melanoleuca",0
"Calidris minutilla",0
"Calidris alba",0
"Pterodroma inexpectata",0
"Larus thayeri",0
"Aythya collaris",0
"Charadrius wilsonia",0
"Recurvirostra americana",0
"Puffinus carneipes",0
"Pterodroma feae",0
"Gelochelidon nilotica",19.3
"Sula sula",0
"Sterna elegans",0
"Cepphus carbo",0
"Tringa semipalmatus",0
"Numenius phaeopus",0
"Podiceps nigricollis",0
"Calidris bairdii",0
"Larus hyperboreus",0
"Hydrocoloeus minutus",0
"Aythya affinis",0
"Rynchops niger",0
"Calidris fuscicollis",0
"Tringa flavipes",0
"Synthliboramphus hypoleucus",0
"Puffinus assimilis",0
"Haematopus palliatus",0
"Charadrius semipalmatus",0
"Sula nebouxii",0
"Tringa incana",0
"Pelecanus erythrorhynchos",0
"Halocyptena microsoma",0
"Aix sponsa",0
"Puffinus tenuirostris",0
"Podilymbus podiceps",0
"Larus ridibundus",0
"Himantopus mexicanus",0
"Calidris melanotos",0
"Pterodroma cahow",0
"Actitis macularius",0
"Larus livens",0
